item,itemLabel
Q213163,Élisabeth_Vigée_Le_Brun
Q3505676,Susie_Cooper
Q100137933,Terry_Friedman
Q5388995,Erika_Moen
Q807628,Barbara_Schurz
Q25184402,Claudia_Böse
Q100158694,Donna Mee
Q105320,Berthe_Morisot
Q6818916,Meredith_Dillman
Q100156,Gertrud_Grunow
Q1288128,Berry_Berenson
Q4778200,Anya_Gallaccio
Q6709165,Lynn_Pasquerella
Q100199244,Judy Tallwing McCarthey
Q173223,Mary_Cassatt
Q5052968,Caroline_Weldon
Q100194504,Margery_Withers
Q229724,Naoko_Takeuchi
Q426999,Frances_Bean_Cobain
Q23018363,Ameena_Ahmad_Ahuja
Q100235454,Elaine Goble
Q451774,Helene_Kröller-Müller
Q5338689,Edith_Vonnegut
Q100251970,Denise_Newman_(actress)
Q70991,Hildegard_of_Bingen
Q4979229,Gunilla_Sköld-Feiler
Q25999543,Alanna_Lockward
Q100271077,Hooranky
Q466677,Cecilia_Beaux
Q6120196,Jacqueline_Ripstein
Q100265,Johann_Salver
Q214565,Beatrix_Potter
Q7162582,Penelope_Rosemont
Q101842766,Beata_Maria_Kitsikis_Panagopoulos
Q100272836,Barbie Maan
Q55415,Leni_Riefenstahl
Q4859183,Barbara_Nessim
Q100324198,Corine_Onyango
Q117012,Yoko_Ono
Q5249996,Deej_Fabyc
Q30502118,Erika_Lemay
Q100304803,Calvin Hicks
Q236038,Sofonisba_Anguissola
Q3314047,Milein_Cosman
Q100330737,Joelle_Kayembe
Q219948,Rumiko_Takahashi
Q3093047,G._B._Jones
Q4726248,Alicia_Dickerson_Montemayor
Q100311909,Nikolai Barsamov
Q241732,Rosa_Bonheur
Q6760989,Maria_Alquilar
Q100348722,Amelia_Umuhire
Q102071,Tove_Jansson
Q5702792,Helen_Mayfield
Q19662197,Fannie_Knowling_McNeil
Q100318549,Roger Montoya
Q450528,Eirene_(artist)
Q6808762,Megan_Wilson
Q100358555,Susan_Basemera
Q5987181,Ida_Rentoul_Outhwaite
Q13564501,T._K._Padmini
Q21285391,Neda_Moridpour
Q100319931,Annette Calud
Q120582,Camille_Claudel
Q13561956,Niagara_(painter_and_singer)
Q100422346,Mizinga_Mwinga
Q2272617,Cicely_Mary_Barker
Q2617187,Rowena_Morrill
Q41351,Jodie_Foster
Q100328438,Mario Torroella
Q466623,Elsa_Beskow
Q15499401,Lenore_Tawney
Q100496,Ute_Meta_Bauer
Q173585,Jessica_Lange
Q6557999,Lisa_Frank
Q233347,Clea_DuVall
Q100334064,J Stoner Blackwell
Q508344,Margaret_Macdonald_Mackintosh
Q6205948,Joanna_Rajkowska
Q100605824,Joseph_Akouissone
Q453983,Joan_Lindsay
Q7982832,Wendy_Wood_(artist)
Q232404,Asta_Nielsen
Q100384842,Charles Abrahams
